β	ℓ	J_ℓ/β
1.3900000000000008	2	0.5638963108825108
1.4000000000000008	2	0.5706879813907382
1.4100000000000008	2	0.5772940924976288
1.4200000000000008	2	0.5837215366575265
1.4300000000000008	2	0.5899768753304164
1.4400000000000008	2	0.5960663589126299
1.4500000000000008	2	0.6019959452076215
1.4600000000000009	2	0.6077713165633675
1.4700000000000009	2	0.6133978957902387
1.4800000000000009	2	0.6188808609619753
1.4900000000000009	2	0.6242251591924185
1.5000000000000009	2	0.6294355194717638
1.510000000000001	2	0.6345164646381933
1.520000000000001	2	0.6394723225536793
1.530000000000001	2	0.6443072365464192
1.540000000000001	2	0.6490251751767142
1.550000000000001	2	0.6536299413780098
1.560000000000001	2	0.6581251810202601
1.570000000000001	2	0.6625143909386582
1.580000000000001	2	0.6668009264670876
1.590000000000001	2	0.6709880085122909
1.600000000000001	2	0.6750787302017399
1.610000000000001	2	0.6790760631354612
1.620000000000001	2	0.6829828632695879
1.630000000000001	2	0.6868018764571667
1.640000000000001	2	0.6905357436697013
1.650000000000001	2	0.6941870059210739
1.660000000000001	2	0.697758108913775
1.670000000000001	2	0.701251407425857
1.680000000000001	2	0.7046691694555769
1.690000000000001	2	0.7080135801394926
1.700000000000001	2	0.7112867454584975
1.710000000000001	2	0.714490695745296
1.720000000000001	2	0.717627389005776
1.730000000000001	2	0.7206987140658758
1.740000000000001	2	0.7237064935546706
1.750000000000001	2	0.7266524867336903
1.7600000000000011	2	0.7295383921817274
1.7700000000000011	2	0.7323658503438104
1.7800000000000011	2	0.7351364459523437
1.7900000000000011	2	0.737851710327959
1.8000000000000012	2	0.7405131235670381
1.8100000000000012	2	0.7431221166224528
1.8200000000000012	2	0.7456800732836014
1.8300000000000012	2	0.748188332061451
1.8400000000000012	2	0.7506481879838972
1.8500000000000012	2	0.7530608943064308
1.8600000000000012	2	0.7554276641427772
1.8700000000000012	2	0.7577496720198702
1.8800000000000012	2	0.7600280553612624
